Emma,Math,A
Olivia,History,A
Oliver,Math,A
Isabella,Science,A
Elijah,Art,A
Amelia,History,A
Evelyn,English,A
Lucas,History,A
Ella,Math,A
Sebastian,Art,A
Samuel,Science,A
Penelope,Art,A
Luke,Science,A
Grace,English,A
Levi,History,A
Gabriel,English,A
Anthony,History,A
Joshua,Math,A
Theodore,Art,A
Asher,Science,A
Leo,English,A
Josiah,History,A
Hunter,Math,A
Ezra,Art,A
Adrian,Science,A
Nolan,Art,A
Elias,Science,A
Carson,English,A
Maverick,History,A
Dominic,English,A
Adam,History,A
Austin,Math,A
Miles,Art,A
Justin,Science,A
Diego,English,A
Taj,History,A
Zane,Computer Science,A
